Fahrten,Namen
1340,S7 (Regionalverkehr Bern-Solothurn)
131,41 (Autobusbetrieb RBS)
126,S2 (BLS AG (bls))
68,RE1 (BLS AG (bls))
50,IC61 (Schweizerische Bundesbahnen SBB)
41,RE5 (Regionalverkehr Bern-Solothurn)
39,IC1 (Schweizerische Bundesbahnen SBB)
22,S1 (BLS AG (bls))
19,IC6 (Schweizerische Bundesbahnen SBB)
18,EC (Schweizerische Bundesbahnen SBB)
18,IR35 (Schweizerische Bundesbahnen SBB)
18,IC8 (Schweizerische Bundesbahnen SBB)
17,IC81 (Schweizerische Bundesbahnen SBB)
16,S5 (BLS AG (bls))
14,IR17 (BLS AG (bls))
14,S51 (BLS AG (bls))
10,S52 (BLS AG (bls))
10,2 (STI Bus AG)
10,IR15 (Schweizerische Bundesbahnen SBB)
9,S3 (BLS AG (bls))
