Fahrten,Namen
224,S7 (Regionalverkehr Bern-Solothurn)
36,IC61 (Schweizerische Bundesbahnen SBB)
36,IC1 (Schweizerische Bundesbahnen SBB)
36,RE1 (BLS AG (bls))
18,EC (Schweizerische Bundesbahnen SBB)
17,IC8 (Schweizerische Bundesbahnen SBB)
17,RE5 (Regionalverkehr Bern-Solothurn)
14,IC6 (Schweizerische Bundesbahnen SBB)
12,IC81 (Schweizerische Bundesbahnen SBB)
10,IR17 (BLS AG (bls))
10,2 (STI Bus AG)
8,5 (STI Bus AG)
8,S1 (BLS AG (bls))
8,IR15 (Schweizerische Bundesbahnen SBB)
7,RE3 (Transports publics fribourgeois)
5,41 (Autobusbetrieb RBS)
5,1 (Basler Verkehrsbetriebe)
4,1 (STI Bus AG)
4,765 (Verkehrsbetriebe Glattal)
4,30 (Basler Verkehrsbetriebe)
