Fahrten,Namen
313,S7 (Regionalverkehr Bern-Solothurn)
74,S8 (Regionalverkehr Bern-Solothurn)
47,RE1 (BLS AG (bls))
41,IC61 (Schweizerische Bundesbahnen SBB)
24,RE5 (Regionalverkehr Bern-Solothurn)
24,IR65 (BLS AG (bls))
20,IR35 (Schweizerische Bundesbahnen SBB)
14,S4 (BLS AG (bls))
11,1 (STI Bus AG)
11,2 (STI Bus AG)
10,RE7 (BLS AG (bls))
9,5 (STI Bus AG)
7,IC1 (Schweizerische Bundesbahnen SBB)
7,IC81 (Schweizerische Bundesbahnen SBB)
6,IC8 (Schweizerische Bundesbahnen SBB)
5,S1 (BLS AG (bls))
4,S44 (BLS AG (bls))
4,IR17 (BLS AG (bls))
4,S6 (BLS AG (bls))
4,3 (STI Bus AG)
