Fahrten,Namen
434,S8 (Regionalverkehr Bern-Solothurn)
104,M11 (Busbetrieb Solothurn und Umgebung)
33,S2 (BLS AG (bls))
15,RE1 (BLS AG (bls))
12,S1 (BLS AG (bls))
6,IC61 (Schweizerische Bundesbahnen SBB)
5,IR17 (BLS AG (bls))
3,S5 (BLS AG (bls))
3,S51 (BLS AG (bls))
3,S7 (Regionalverkehr Bern-Solothurn)
2,RE7 (BLS AG (bls))
2,S52 (BLS AG (bls))
2,EC (Schweizerische Bundesbahnen SBB)
2,IC1 (Schweizerische Bundesbahnen SBB)
2,467 (Busland AG)
1,IC6 (Schweizerische Bundesbahnen SBB)
1,2 (STI Bus AG)
1,S6 (BLS AG (bls))
1,S20 (Schweizerische Bundesbahnen SBB)
1,5 (STI Bus AG)
