Fahrten,Namen
428,RE5 (Regionalverkehr Bern-Solothurn)
27,S44 (BLS AG (bls))
26,S2 (BLS AG (bls))
17,S8 (Regionalverkehr Bern-Solothurn)
16,871 (Autobusbetrieb RBS)
14,IR65 (BLS AG (bls))
13,RE1 (BLS AG (bls))
9,S1 (BLS AG (bls))
4,S4 (BLS AG (bls))
3,IC61 (Schweizerische Bundesbahnen SBB)
2,S35 (BLS AG (bls))
2,EC (Schweizerische Bundesbahnen SBB)
2,S3 (BLS AG (bls))
2,IC8 (Schweizerische Bundesbahnen SBB)
2,5 (STI Bus AG)
1,S52 (BLS AG (bls))
1,S51 (BLS AG (bls))
1,RE7 (BLS AG (bls))
1,IR17 (BLS AG (bls))
1,IC1 (Schweizerische Bundesbahnen SBB)
