Fahrten,Namen
327,RE5 (Regionalverkehr Bern-Solothurn)
15,S2 (BLS AG (bls))
14,S8 (Regionalverkehr Bern-Solothurn)
11,RE1 (BLS AG (bls))
4,S4 (BLS AG (bls))
4,S1 (BLS AG (bls))
3,IC61 (Schweizerische Bundesbahnen SBB)
2,IR65 (BLS AG (bls))
2,EC (Schweizerische Bundesbahnen SBB)
2,IC8 (Schweizerische Bundesbahnen SBB)
2,5 (STI Bus AG)
1,S51 (BLS AG (bls))
1,RE7 (BLS AG (bls))
1,S52 (BLS AG (bls))
1,IC1 (Schweizerische Bundesbahnen SBB)
1,S31 (BLS AG (bls))
1,1 (STI Bus AG)
0,S3 (BLS AG (bls))
0,S42 (BLS AG (bls))
0,2 (STI Bus AG)
