Fahrten,Namen
303,Bern - Jegenstorf
10,Jegenstorf - Thun
5,Jegenstorf - Köniz
4,Belp - Jegenstorf
3,Jegenstorf - Münsingen
2,Jegenstorf - Zürich
2,Jegenstorf - Lyss
2,Jegenstorf - Olten
1,Freimettigen - Jegenstorf
1,Jegenstorf - Kerzers
1,Jegenstorf - Langnau im Emmental
1,Jegenstorf - Muri bei Bern
1,Jegenstorf - Wünnewil-Flamatt
1,Jegenstorf - Kehrsatz
1,Jegenstorf - Rubigen
1,Jegenstorf - Steffisburg
0,Grosshöchstetten - Jegenstorf
0,Jegenstorf - Laupen
0,Jegenstorf - Toffen
0,Jegenstorf - Kloten
