Fahrten,Namen
85,Bern - Bätterkinden
44,Bern - Utzenstorf
15,Bern - Koppigen
2,Lyss - Utzenstorf
2,Bätterkinden - Lyss
1,Bätterkinden - Münsingen
1,Muri bei Bern - Utzenstorf
1,Bätterkinden - Muri bei Bern
1,Bätterkinden - Thun
0,Bätterkinden - Köniz
0,Köniz - Utzenstorf
0,Bätterkinden - Hellsau
0,Bätterkinden - Spiez
0,Bätterkinden - Rumendingen
0,Bätterkinden - Langnau im Emmental
0,Belp - Utzenstorf
0,Bätterkinden - Worb
0,Rubigen - Utzenstorf
0,Frauenkappelen - Utzenstorf
0,Grossaffoltern - Thun
