Fahrten,Namen
78,RE5 (Regionalverkehr Bern-Solothurn)
10,885 (PostAuto AG)
10,3 (Busbetrieb Solothurn und Umgebung)
4,IR65 (BLS AG (bls))
3,886 (PostAuto AG)
1,S7 (Regionalverkehr Bern-Solothurn)
1,M11 (Busbetrieb Solothurn und Umgebung)
0,S1 (BLS AG (bls))
0,781 (PostAuto AG)
0,S2 (BLS AG (bls))
0,S5 (BLS AG (bls))
0,S3 (BLS AG (bls))
0,IC1 (Schweizerische Bundesbahnen SBB)
0,65 (Automobil Rottal AG)
0,IR15 (Schweizerische Bundesbahnen SBB)
0,RE1 (BLS AG (bls))
0,S12 (Schweizerische Bundesbahnen SBB)
0,IR16 (Schweizerische Bundesbahnen SBB)
0,765 (Verkehrsbetriebe Glattal)
0,74 (Automobildienste Aare Seeland mobil)
