Fahrten,Namen
218,S8 (Regionalverkehr Bern-Solothurn)
45,RE1 (BLS AG (bls))
30,IC61 (Schweizerische Bundesbahnen SBB)
13,S5 (BLS AG (bls))
12,IC6 (Schweizerische Bundesbahnen SBB)
10,IR17 (BLS AG (bls))
9,2 (STI Bus AG)
8,1 (STI Bus AG)
8,IR35 (Schweizerische Bundesbahnen SBB)
8,S6 (BLS AG (bls))
7,5 (STI Bus AG)
6,S4 (BLS AG (bls))
5,S44 (BLS AG (bls))
4,3 (STI Bus AG)
3,21 (STI Bus AG)
2,41 (Autobusbetrieb RBS)
2,IR16 (Schweizerische Bundesbahnen SBB)
2,161 (Städtische Verkehrsbetriebe Bern)
2,467 (Busland AG)
1,320 (PostAuto AG)
