Fahrten,Namen
87,S8 (Regionalverkehr Bern-Solothurn)
28,RE1 (BLS AG (bls))
27,IC61 (Schweizerische Bundesbahnen SBB)
9,2 (STI Bus AG)
9,IC6 (Schweizerische Bundesbahnen SBB)
7,S6 (BLS AG (bls))
7,1 (STI Bus AG)
7,IR17 (BLS AG (bls))
5,5 (STI Bus AG)
3,S5 (BLS AG (bls))
3,21 (STI Bus AG)
3,3 (STI Bus AG)
2,S44 (BLS AG (bls))
2,IR16 (Schweizerische Bundesbahnen SBB)
1,S4 (BLS AG (bls))
1,IC1 (Schweizerische Bundesbahnen SBB)
1,53 (STI Bus AG)
1,S20 (Transports publics fribourgeois)
1,521 (PostAuto AG)
1,IR35 (Schweizerische Bundesbahnen SBB)
