Fahrten,Namen
544,S8 (Regionalverkehr Bern-Solothurn)
32,IC61 (Schweizerische Bundesbahnen SBB)
30,RE1 (BLS AG (bls))
25,S2 (BLS AG (bls))
24,S1 (BLS AG (bls))
23,IR17 (BLS AG (bls))
15,S5 (BLS AG (bls))
11,IC6 (Schweizerische Bundesbahnen SBB)
8,S7 (Regionalverkehr Bern-Solothurn)
7,IC1 (Schweizerische Bundesbahnen SBB)
7,S20 (Schweizerische Bundesbahnen SBB)
7,S52 (BLS AG (bls))
7,RE7 (BLS AG (bls))
7,1 (STI Bus AG)
6,S44 (BLS AG (bls))
6,S42 (BLS AG (bls))
6,3 (STI Bus AG)
6,21 (STI Bus AG)
5,S6 (BLS AG (bls))
5,IR15 (Schweizerische Bundesbahnen SBB)
