Fahrten,Namen
175,Bern - Mattstetten
27,Mattstetten - Thun
8,Mattstetten - Münsingen
5,Mattstetten - Steffisburg
4,Langnau im Emmental - Mattstetten
4,Mattstetten - Olten
4,Düdingen - Mattstetten
3,Freimettigen - Mattstetten
3,Hilterfingen - Mattstetten
3,Laupen - Mattstetten
3,Köniz - Mattstetten
2,Mattstetten - Schwarzenburg
2,Mattstetten - Zürich
2,Ins - Mattstetten
2,Langenthal - Mattstetten
2,Mattstetten - Spiez
2,Erlach - Mattstetten
1,Beatenberg - Mattstetten
1,Fribourg - Mattstetten
1,Mattstetten - Riggisberg
