Fahrten,Namen
341,Bern - Mattstetten
29,Mattstetten - Thun
14,Mattstetten - Münsingen
8,Mattstetten - Steffisburg
7,Freimettigen - Mattstetten
7,Herzogenbuchsee - Mattstetten
6,Mattstetten - Wichtrach
4,Düdingen - Mattstetten
4,Laupen - Mattstetten
4,Grosshöchstetten - Mattstetten
4,Langnau im Emmental - Mattstetten
4,Mattstetten - Olten
4,Kerzers - Mattstetten
4,Hilterfingen - Mattstetten
3,Mattstetten - Wünnewil-Flamatt
3,Kirchberg (BE) - Mattstetten
3,Heimberg - Mattstetten
3,Köniz - Mattstetten
3,Mattstetten - Schmitten (FR)
3,Greng - Mattstetten
