Fahrten,Namen
57,S7 (Regionalverkehr Bern-Solothurn)
2,IR35 (Schweizerische Bundesbahnen SBB)
1,S2 (BLS AG (bls))
1,S4 (BLS AG (bls))
1,S3 (BLS AG (bls))
1,RE1 (BLS AG (bls))
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
1,S31 (BLS AG (bls))
1,RE7 (BLS AG (bls))
0,S6 (BLS AG (bls))
0,472 (PostAuto AG)
0,S44 (BLS AG (bls))
0,EC (Schweizerische Bundesbahnen SBB)
0,S1 (BLS AG (bls))
0,462 (Busland AG)
0,RE5 (Regionalverkehr Bern-Solothurn)
0,160 (Städtische Verkehrsbetriebe Bern)
0,S41 (BLS AG (bls))
0,IR17 (BLS AG (bls))
0,S51 (BLS AG (bls))
