Fahrten,Namen
4170,IC5 (Schweizerische Bundesbahnen SBB)
2446,RE5 (Regionalverkehr Bern-Solothurn)
1310,S20 (Schweizerische Bundesbahnen SBB)
494,2 (Busbetrieb Solothurn und Umgebung)
453,5 (Busbetrieb Solothurn und Umgebung)
287,1 (Busbetrieb Solothurn und Umgebung)
269,IC21 (Schweizerische Bundesbahnen SBB)
198,7 (Busbetrieb Solothurn und Umgebung)
196,502 (Busbetrieb Olten-Gösgen-Gäu)
174,IC61 (Schweizerische Bundesbahnen SBB)
154,2 (Verkehrsbetriebe Biel)
148,S41 (BLS AG (bls))
146,20 (Städtische Verkehrsbetriebe Bern)
126,S11 (Aare Seeland mobil (snb))
109,12 (Städtische Verkehrsbetriebe Bern)
109,IR90 (Schweizerische Bundesbahnen SBB)
106,3 (Busbetrieb Solothurn und Umgebung)
105,S8 (Regionalverkehr Bern-Solothurn)
103,12 (Verkehrsbetriebe Zürich INFO+)
100,S29 (Schweizerische Bundesbahnen SBB)
