Fahrten,Namen
1703,Bern - Mattstetten
1630,Bern - Zollikofen
1001,Bern - Moosseedorf
546,Bern - Jegenstorf
178,Köniz - Zollikofen
161,Mattstetten - Zollikofen
160,Bern - Fraubrunnen
116,Mattstetten - Ostermundigen
114,Mattstetten - Rapperswil (BE)
105,Ittigen - Mattstetten
90,Moosseedorf - Zollikofen
87,Ittigen - Zollikofen
87,Thun - Zollikofen
81,Köniz - Mattstetten
80,Moosseedorf - Ostermundigen
74,Ostermundigen - Zollikofen
71,Bern - Rapperswil (BE)
70,Mattstetten - Thun
66,Bern - Bäriswil
64,Ittigen - Rapperswil (BE)
