Fahrten,Namen
1346,S8 (Regionalverkehr Bern-Solothurn)
139,RE5 (Regionalverkehr Bern-Solothurn)
88,38 (Autobusbetrieb RBS)
58,10 (Städtische Verkehrsbetriebe Bern)
44,RE1 (BLS AG (bls))
43,S2 (BLS AG (bls))
28,IC61 (Schweizerische Bundesbahnen SBB)
28,S7 (Regionalverkehr Bern-Solothurn)
28,12 (Städtische Verkehrsbetriebe Bern)
23,8 (Städtische Verkehrsbetriebe Bern)
22,EC (Schweizerische Bundesbahnen SBB)
17,41 (Autobusbetrieb RBS)
16,7 (Städtische Verkehrsbetriebe Bern)
15,17 (Städtische Verkehrsbetriebe Bern)
15,S3 (BLS AG (bls))
14,9 (Städtische Verkehrsbetriebe Bern)
12,S11 (BLS AG (bls))
10,S20 (Schweizerische Bundesbahnen SBB)
9,6 (Städtische Verkehrsbetriebe Bern)
9,107 (PostAuto AG)
