Fahrten,Namen
378,Bern - Jegenstorf
260,Bern - Mattstetten
142,Bern - Fraubrunnen
45,Ittigen - Jegenstorf
43,Ittigen - Mattstetten
37,Mattstetten - Thun
31,Jegenstorf - Köniz
22,Jegenstorf - Thun
21,Köniz - Mattstetten
19,Jegenstorf - Mattstetten
18,Jegenstorf - Zollikofen
16,Bätterkinden - Mattstetten
15,Fraubrunnen - Zollikofen
14,Fraubrunnen - Mattstetten
13,Fraubrunnen - Ittigen
12,Solothurn - Zollikofen
11,Mattstetten - Muri bei Bern
10,Bätterkinden - Zollikofen
9,Mattstetten - Münsingen
7,Fraubrunnen - Moosseedorf
