Fahrten,Namen
1472,Bern - Mattstetten
546,Bern - Jegenstorf
232,Ittigen - Mattstetten
194,Mattstetten - Zollikofen
167,Mattstetten - Rapperswil (BE)
164,Bern - Fraubrunnen
110,Ittigen - Jegenstorf
109,Mattstetten - Ostermundigen
106,Jegenstorf - Rapperswil (BE)
93,Jegenstorf - Zollikofen
78,Jegenstorf - Mattstetten
78,Bern - Bäriswil
59,Jegenstorf - Moosseedorf
48,Köniz - Mattstetten
46,Mattstetten - Thun
41,Biel/Bienne - Mattstetten
38,Fraubrunnen - Mattstetten
37,Bern - Lyssach
36,Jegenstorf - Ostermundigen
36,Lyssach - Moosseedorf
