Fahrten,Namen
3381,RE5 (Regionalverkehr Bern-Solothurn)
2811,IC5 (Schweizerische Bundesbahnen SBB)
2329,S20 (Schweizerische Bundesbahnen SBB)
707,S11 (Aare Seeland mobil (snb))
686,5 (Busbetrieb Solothurn und Umgebung)
612,1 (Busbetrieb Solothurn und Umgebung)
573,2 (Busbetrieb Solothurn und Umgebung)
564,S44 (BLS AG (bls))
372,S41 (BLS AG (bls))
367,7 (Busbetrieb Solothurn und Umgebung)
231,S8 (Regionalverkehr Bern-Solothurn)
192,21 (Busbetrieb Grenchen und Umgebung)
174,20 (Städtische Verkehrsbetriebe Bern)
167,502 (Busbetrieb Olten-Gösgen-Gäu)
139,8 (Autobusbetrieb RBS)
136,3 (Busbetrieb Solothurn und Umgebung)
136,465 (Busland AG)
116,12 (Städtische Verkehrsbetriebe Bern)
114,2 (Verkehrsbetriebe Biel)
107,886 (PostAuto AG)
