Fahrten,Namen
2439,IC5 (Schweizerische Bundesbahnen SBB)
2268,RE5 (Regionalverkehr Bern-Solothurn)
678,S20 (Schweizerische Bundesbahnen SBB)
285,5 (Busbetrieb Solothurn und Umgebung)
266,2 (Busbetrieb Solothurn und Umgebung)
174,1 (Busbetrieb Solothurn und Umgebung)
167,7 (Busbetrieb Solothurn und Umgebung)
165,502 (Busbetrieb Olten-Gösgen-Gäu)
148,S41 (BLS AG (bls))
137,20 (Städtische Verkehrsbetriebe Bern)
123,S11 (Aare Seeland mobil (snb))
102,S8 (Regionalverkehr Bern-Solothurn)
98,12 (Städtische Verkehrsbetriebe Bern)
96,IC21 (Schweizerische Bundesbahnen SBB)
73,IR26 (Schweizerische Südostbahn (sob))
72,8 (Städtische Verkehrsbetriebe Bern)
71,2 (Verkehrsbetriebe Biel)
67,3 (Busbetrieb Solothurn und Umgebung)
51,21 (Busbetrieb Grenchen und Umgebung)
49,9 (Busbetrieb Solothurn und Umgebung)
