Fahrten,Namen
1789,S3 (BLS AG (bls))
1714,S8 (Regionalverkehr Bern-Solothurn)
1414,S31 (BLS AG (bls))
501,S4 (BLS AG (bls))
419,41 (Autobusbetrieb RBS)
311,106 (PostAuto AG)
268,S11 (BLS AG (bls))
157,38 (Autobusbetrieb RBS)
150,107 (PostAuto AG)
131,S41 (BLS AG (bls))
109,898 (Autobusbetrieb RBS)
97,8 (Städtische Verkehrsbetriebe Bern)
89,36 (Autobusbetrieb RBS)
77,465 (Busland AG)
76,12 (Städtische Verkehrsbetriebe Bern)
67,S2 (BLS AG (bls))
66,6 (Städtische Verkehrsbetriebe Bern)
60,9 (Städtische Verkehrsbetriebe Bern)
60,10 (Städtische Verkehrsbetriebe Bern)
51,7 (Städtische Verkehrsbetriebe Bern)
