Fahrten,Namen
874,Bern - Zollikofen
313,Bern - Rapperswil (BE)
180,Mattstetten - Rapperswil (BE)
117,Ostermundigen - Zollikofen
100,Lyss - Mattstetten
98,Bern - Ittigen
93,Moosseedorf - Rapperswil (BE)
87,Mattstetten - Zollikofen
71,Ittigen - Mattstetten
62,Lyss - Zollikofen
60,Jegenstorf - Rapperswil (BE)
59,Mattstetten - Schüpfen
55,Bern - Mattstetten
53,Biel/Bienne - Zollikofen
50,Burgdorf - Rapperswil (BE)
49,Köniz - Zollikofen
47,Moosseedorf - Zollikofen
46,Ittigen - Rapperswil (BE)
41,Muri bei Bern - Zollikofen
41,Lyss - Moosseedorf
