Fahrten,Namen
10552,S7 (Regionalverkehr Bern-Solothurn)
6443,S8 (Regionalverkehr Bern-Solothurn)
5172,S3 (BLS AG (bls))
5129,S2 (BLS AG (bls))
4819,IC81 (Schweizerische Bundesbahnen SBB)
4741,S1 (BLS AG (bls))
4339,IC61 (Schweizerische Bundesbahnen SBB)
4328,RE1 (BLS AG (bls))
4288,RE5 (Regionalverkehr Bern-Solothurn)
4117,S31 (BLS AG (bls))
3914,20 (Städtische Verkehrsbetriebe Bern)
3548,IR65 (BLS AG (bls))
3375,IC8 (Schweizerische Bundesbahnen SBB)
3321,IR15 (Schweizerische Bundesbahnen SBB)
3280,IC1 (Schweizerische Bundesbahnen SBB)
3136,IR17 (BLS AG (bls))
3135,S5 (BLS AG (bls))
3118,10 (Städtische Verkehrsbetriebe Bern)
2761,S4 (BLS AG (bls))
2325,ICE (Schweizerische Bundesbahnen SBB)
