Fahrten,Namen
4114,IC81 (Schweizerische Bundesbahnen SBB)
3717,IC61 (Schweizerische Bundesbahnen SBB)
3341,RE5 (Regionalverkehr Bern-Solothurn)
3252,S31 (BLS AG (bls))
3233,IC8 (Schweizerische Bundesbahnen SBB)
3146,IR65 (BLS AG (bls))
3103,RE1 (BLS AG (bls))
2898,IC1 (Schweizerische Bundesbahnen SBB)
2870,IR15 (Schweizerische Bundesbahnen SBB)
2741,IR17 (BLS AG (bls))
2633,S7 (Regionalverkehr Bern-Solothurn)
2450,20 (Städtische Verkehrsbetriebe Bern)
2403,S8 (Regionalverkehr Bern-Solothurn)
2313,S3 (BLS AG (bls))
2168,ICE (Schweizerische Bundesbahnen SBB)
1744,IC6 (Schweizerische Bundesbahnen SBB)
1387,10 (Städtische Verkehrsbetriebe Bern)
1309,IR35 (Schweizerische Bundesbahnen SBB)
1306,S2 (BLS AG (bls))
1195,IC21 (Schweizerische Bundesbahnen SBB)
