Fahrten,Namen
8478,S8 (Regionalverkehr Bern-Solothurn)
6979,S31 (BLS AG (bls))
6016,S3 (BLS AG (bls))
3213,S4 (BLS AG (bls))
1150,38 (Autobusbetrieb RBS)
1006,41 (Autobusbetrieb RBS)
928,36 (Autobusbetrieb RBS)
848,S41 (BLS AG (bls))
821,10 (Städtische Verkehrsbetriebe Bern)
800,20 (Städtische Verkehrsbetriebe Bern)
737,12 (Städtische Verkehrsbetriebe Bern)
686,8 (Städtische Verkehrsbetriebe Bern)
613,2 (Verkehrsbetriebe Biel)
575,S2 (BLS AG (bls))
565,S7 (Regionalverkehr Bern-Solothurn)
549,40 (Autobusbetrieb RBS)
467,S11 (BLS AG (bls))
417,28 (Städtische Verkehrsbetriebe Bern)
401,M11 (Busbetrieb Solothurn und Umgebung)
389,S1 (BLS AG (bls))
