Fahrten,Namen
107,S7 (Regionalverkehr Bern-Solothurn)
4,EC (Schweizerische Bundesbahnen SBB)
3,S2 (BLS AG (bls))
3,7 (Städtische Verkehrsbetriebe Bern)
3,S8 (Regionalverkehr Bern-Solothurn)
3,8 (Städtische Verkehrsbetriebe Bern)
3,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
2,781 (PostAuto AG)
2,794 (PostAuto AG)
2,19 (Städtische Verkehrsbetriebe Bern)
2,10 (Städtische Verkehrsbetriebe Bern)
2,IR65 (BLS AG (bls))
2,17 (Städtische Verkehrsbetriebe Bern)
1,S31 (BLS AG (bls))
1,S9 (Regionalverkehr Bern-Solothurn)
1,36 (Autobusbetrieb RBS)
1,12 (Städtische Verkehrsbetriebe Bern)
1,34 (Autobusbetrieb RBS)
0,RE5 (Regionalverkehr Bern-Solothurn)
0,IR16 (Schweizerische Bundesbahnen SBB)
