Fahrten,Namen
202,S7 (Regionalverkehr Bern-Solothurn)
11,10 (Städtische Verkehrsbetriebe Bern)
9,IR65 (BLS AG (bls))
9,12 (Städtische Verkehrsbetriebe Bern)
7,RE1 (BLS AG (bls))
6,46 (Autobusbetrieb RBS)
4,S44 (BLS AG (bls))
3,S31 (BLS AG (bls))
3,IC8 (Schweizerische Bundesbahnen SBB)
3,IC61 (Schweizerische Bundesbahnen SBB)
3,IC1 (Schweizerische Bundesbahnen SBB)
3,RE5 (Regionalverkehr Bern-Solothurn)
2,44 (Autobusbetrieb RBS)
2,9 (Städtische Verkehrsbetriebe Bern)
2,EC (Schweizerische Bundesbahnen SBB)
2,S1 (BLS AG (bls))
1,S8 (Regionalverkehr Bern-Solothurn)
1,5 (STI Bus AG)
1,S2 (BLS AG (bls))
1,47 (Autobusbetrieb RBS)
