Fahrten,Namen
463,S7 (Regionalverkehr Bern-Solothurn)
72,IR65 (BLS AG (bls))
56,IC1 (Schweizerische Bundesbahnen SBB)
49,EC (Schweizerische Bundesbahnen SBB)
43,IC61 (Schweizerische Bundesbahnen SBB)
38,RE1 (BLS AG (bls))
33,RE2 (Transports publics fribourgeois)
27,IR16 (Schweizerische Bundesbahnen SBB)
23,RE5 (Regionalverkehr Bern-Solothurn)
17,IC8 (Schweizerische Bundesbahnen SBB)
14,IC6 (Schweizerische Bundesbahnen SBB)
13,S1 (BLS AG (bls))
12,IC81 (Schweizerische Bundesbahnen SBB)
12,IR35 (Schweizerische Bundesbahnen SBB)
10,IR17 (BLS AG (bls))
10,2 (STI Bus AG)
9,5 (STI Bus AG)
9,2 (Service d'automobiles TPF)
8,IR15 (Schweizerische Bundesbahnen SBB)
8,6 (Verkehrsbetriebe Biel)
