Fahrten,Namen
1092,S7 (Regionalverkehr Bern-Solothurn)
536,S8 (Regionalverkehr Bern-Solothurn)
93,IC81 (Schweizerische Bundesbahnen SBB)
89,S3 (BLS AG (bls))
71,IR65 (BLS AG (bls))
54,RE5 (Regionalverkehr Bern-Solothurn)
48,S31 (BLS AG (bls))
47,RE1 (BLS AG (bls))
45,8 (Städtische Verkehrsbetriebe Bern)
42,IR17 (BLS AG (bls))
41,IC61 (Schweizerische Bundesbahnen SBB)
35,S5 (BLS AG (bls))
33,1 (STI Bus AG)
33,9 (Städtische Verkehrsbetriebe Bern)
27,10 (Städtische Verkehrsbetriebe Bern)
26,36 (Autobusbetrieb RBS)
21,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
20,IR35 (Schweizerische Bundesbahnen SBB)
18,ICE (Schweizerische Bundesbahnen SBB)
18,17 (Städtische Verkehrsbetriebe Bern)
