Fahrten,Namen
3545,S8 (Regionalverkehr Bern-Solothurn)
368,M11 (Busbetrieb Solothurn und Umgebung)
259,10 (Städtische Verkehrsbetriebe Bern)
254,36 (Autobusbetrieb RBS)
198,S31 (BLS AG (bls))
180,S7 (Regionalverkehr Bern-Solothurn)
145,41 (Autobusbetrieb RBS)
142,8 (Städtische Verkehrsbetriebe Bern)
141,S3 (BLS AG (bls))
98,12 (Städtische Verkehrsbetriebe Bern)
90,S2 (BLS AG (bls))
81,6 (Städtische Verkehrsbetriebe Bern)
76,S4 (BLS AG (bls))
58,EC (Schweizerische Bundesbahnen SBB)
56,451 (PostAuto AG)
55,IR65 (BLS AG (bls))
52,106 (PostAuto AG)
42,7 (Städtische Verkehrsbetriebe Bern)
37,898 (Autobusbetrieb RBS)
34,IR35 (Schweizerische Bundesbahnen SBB)
