Fahrten,Namen
356,Bern - Moosseedorf
29,Ittigen - Moosseedorf
23,Moosseedorf - Zollikofen
22,Köniz - Moosseedorf
13,Moosseedorf - Thun
12,Mattstetten - Thun
9,Moosseedorf - Muri bei Bern
7,Fraubrunnen - Moosseedorf
6,Jegenstorf - Moosseedorf
5,Moosseedorf - Münsingen
5,Bätterkinden - Moosseedorf
4,Moosseedorf - Worb
3,Herzogenbuchsee - Moosseedorf
3,Langenthal - Mattstetten
3,Belp - Moosseedorf
3,Freimettigen - Moosseedorf
3,Moosseedorf - Vechigen
3,Mattstetten - Olten
3,Moosseedorf - Solothurn
2,Moosseedorf - Olten
