Fahrten,Namen
12797,S7 (Regionalverkehr Bern-Solothurn)
7705,S2 (BLS AG (bls))
7572,S8 (Regionalverkehr Bern-Solothurn)
7536,S1 (BLS AG (bls))
7438,20 (Städtische Verkehrsbetriebe Bern)
6676,S3 (BLS AG (bls))
6289,IC81 (Schweizerische Bundesbahnen SBB)
5723,10 (Städtische Verkehrsbetriebe Bern)
5631,S31 (BLS AG (bls))
5140,IR65 (BLS AG (bls))
5039,RE5 (Regionalverkehr Bern-Solothurn)
4716,IC61 (Schweizerische Bundesbahnen SBB)
4476,S5 (BLS AG (bls))
4389,RE1 (BLS AG (bls))
4376,IR17 (BLS AG (bls))
4334,8 (Städtische Verkehrsbetriebe Bern)
3735,IC8 (Schweizerische Bundesbahnen SBB)
3712,IR15 (Schweizerische Bundesbahnen SBB)
3644,IC1 (Schweizerische Bundesbahnen SBB)
3609,S4 (BLS AG (bls))
