Fahrten,Namen
60,S8 (Regionalverkehr Bern-Solothurn)
32,RE5 (Regionalverkehr Bern-Solothurn)
22,38 (Autobusbetrieb RBS)
6,S4 (BLS AG (bls))
5,S20 (Schweizerische Bundesbahnen SBB)
4,RE1 (BLS AG (bls))
3,7 (Busbetrieb Solothurn und Umgebung)
1,EC (Schweizerische Bundesbahnen SBB)
1,S11 (Aare Seeland mobil (snb))
1,8 (Autobusbetrieb RBS)
1,3 (Busbetrieb Solothurn und Umgebung)
1,S45 (BLS AG (bls))
1,S2 (BLS AG (bls))
0,S7 (Regionalverkehr Bern-Solothurn)
0,S6 (BLS AG (bls))
0,IR17 (BLS AG (bls))
0,885 (PostAuto AG)
0,2 (Busbetrieb Solothurn und Umgebung)
0,IC6 (Schweizerische Bundesbahnen SBB)
0,S44 (BLS AG (bls))
