Fahrten,Namen
9,Mattstetten - Solothurn
8,Bätterkinden - Mattstetten
7,Ittigen - Mattstetten
4,Mattstetten - Thun
3,Bern - Mattstetten
3,Lohn-Ammannsegg - Mattstetten
3,Bern - Rüderswil
3,Biberist - Mattstetten
2,Bäriswil - Ittigen
2,Mattstetten - Zuchwil
2,Langendorf - Mattstetten
1,Mattstetten - Oberbuchsiten
1,Fraubrunnen - Mattstetten
1,Mattstetten - Riedholz
1,Bern - Bäriswil
1,Egerkingen - Mattstetten
1,Ittigen - Lützelflüh
1,Ittigen - Rüderswil
1,Mattstetten - Wangen bei Olten
1,Bätterkinden - Rüderswil
