Fahrten,Namen
416,Bern - Mattstetten
113,Jegenstorf - Mattstetten
58,Ittigen - Mattstetten
53,Bern - Bäriswil
50,Fraubrunnen - Mattstetten
50,Burgdorf - Jegenstorf
43,Mattstetten - Zollikofen
32,Mattstetten - Ostermundigen
29,Mattstetten - Rapperswil (BE)
21,Lyssach - Mattstetten
19,Hindelbank - Jegenstorf
16,Burgdorf - Fraubrunnen
14,Kirchberg (BE) - Moosseedorf
11,Köniz - Mattstetten
11,Mattstetten - Muri bei Bern
10,Mattstetten - Solothurn
9,Bäriswil - Ittigen
9,Biel/Bienne - Mattstetten
9,Bätterkinden - Mattstetten
9,Burgdorf - Moosseedorf
