Fahrten,Namen
2236,S8 (Regionalverkehr Bern-Solothurn)
1253,RE5 (Regionalverkehr Bern-Solothurn)
225,S4 (BLS AG (bls))
126,10 (Städtische Verkehrsbetriebe Bern)
94,20 (Städtische Verkehrsbetriebe Bern)
86,S31 (BLS AG (bls))
82,38 (Autobusbetrieb RBS)
77,871 (Autobusbetrieb RBS)
76,41 (Autobusbetrieb RBS)
75,S20 (Schweizerische Bundesbahnen SBB)
71,S7 (Regionalverkehr Bern-Solothurn)
66,8 (Städtische Verkehrsbetriebe Bern)
58,S44 (BLS AG (bls))
56,S2 (BLS AG (bls))
55,884 (Autobusbetrieb RBS)
50,465 (Busland AG)
49,36 (Autobusbetrieb RBS)
44,12 (Städtische Verkehrsbetriebe Bern)
44,5 (Busbetrieb Solothurn und Umgebung)
44,2 (Busbetrieb Solothurn und Umgebung)
