Fahrten,Namen
772,S8 (Regionalverkehr Bern-Solothurn)
677,RE5 (Regionalverkehr Bern-Solothurn)
42,10 (Städtische Verkehrsbetriebe Bern)
41,S2 (BLS AG (bls))
39,8 (Städtische Verkehrsbetriebe Bern)
33,12 (Städtische Verkehrsbetriebe Bern)
20,IC5 (Schweizerische Bundesbahnen SBB)
18,S20 (Schweizerische Bundesbahnen SBB)
17,S7 (Regionalverkehr Bern-Solothurn)
15,EC (Schweizerische Bundesbahnen SBB)
15,20 (Städtische Verkehrsbetriebe Bern)
13,5 (Busbetrieb Solothurn und Umgebung)
13,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
12,RE1 (BLS AG (bls))
11,6 (Städtische Verkehrsbetriebe Bern)
11,41 (Autobusbetrieb RBS)
10,884 (Autobusbetrieb RBS)
10,9 (Städtische Verkehrsbetriebe Bern)
8,107 (PostAuto AG)
8,7 (Busbetrieb Solothurn und Umgebung)
