Fahrten,Namen
745,Bern - Jegenstorf
45,Ittigen - Jegenstorf
44,Jegenstorf - Köniz
30,Jegenstorf - Solothurn
26,Bätterkinden - Mattstetten
22,Jegenstorf - Thun
21,Fraubrunnen - Jegenstorf
21,Jegenstorf - Mattstetten
20,Bätterkinden - Jegenstorf
18,Jegenstorf - Zollikofen
17,Mattstetten - Solothurn
13,Biel/Bienne - Jegenstorf
12,Solothurn - Zollikofen
11,Fraubrunnen - Zollikofen
10,Bätterkinden - Zollikofen
8,Jegenstorf - Utzenstorf
7,Jegenstorf - Zuchwil
6,Ittigen - Solothurn
6,Jegenstorf - Lohn-Ammannsegg
6,Ittigen - Zuchwil
