Fahrten,Namen
1040,Bern - Jegenstorf
227,Jegenstorf - Mattstetten
110,Ittigen - Jegenstorf
103,Jegenstorf - Rapperswil (BE)
100,Burgdorf - Jegenstorf
96,Fraubrunnen - Jegenstorf
92,Jegenstorf - Zollikofen
58,Jegenstorf - Moosseedorf
50,Jegenstorf - Ostermundigen
49,Jegenstorf - Kirchberg (BE)
48,Hindelbank - Jegenstorf
44,Jegenstorf - Köniz
43,Fraubrunnen - Mattstetten
33,Jegenstorf - Lyssach
30,Jegenstorf - Solothurn
29,Bätterkinden - Jegenstorf
28,Jegenstorf - Lyss
28,Bätterkinden - Mattstetten
25,Jegenstorf - Muri bei Bern
24,Jegenstorf - Krauchthal
