Fahrten,Namen
285,S8 (Regionalverkehr Bern-Solothurn)
22,S4 (BLS AG (bls))
17,884 (Autobusbetrieb RBS)
11,10 (Städtische Verkehrsbetriebe Bern)
11,S44 (BLS AG (bls))
9,RE5 (Regionalverkehr Bern-Solothurn)
8,465 (Busland AG)
6,36 (Autobusbetrieb RBS)
6,S31 (BLS AG (bls))
6,12 (Städtische Verkehrsbetriebe Bern)
5,41 (Autobusbetrieb RBS)
5,8 (Städtische Verkehrsbetriebe Bern)
5,38 (Autobusbetrieb RBS)
4,871 (Autobusbetrieb RBS)
3,S7 (Regionalverkehr Bern-Solothurn)
3,7 (Städtische Verkehrsbetriebe Bern)
3,S2 (BLS AG (bls))
3,363 (Autobusbetrieb RBS)
2,20 (Städtische Verkehrsbetriebe Bern)
2,17 (Städtische Verkehrsbetriebe Bern)
