Fahrten,Namen
110,Bern - Fraubrunnen
11,Fraubrunnen - Mattstetten
7,Fraubrunnen - Ittigen
6,Fraubrunnen - Jegenstorf
4,Fraubrunnen - Zollikofen
3,Fraubrunnen - Solothurn
3,Fraubrunnen - Moosseedorf
2,Fraubrunnen - Köniz
1,Fraubrunnen - Ostermundigen
1,Fraubrunnen - Lyss
1,Biel/Bienne - Fraubrunnen
1,Fraubrunnen - Rapperswil (BE)
1,Fraubrunnen - Lengnau (BE)
1,Fraubrunnen - Riedholz
1,Bremgarten bei Bern - Fraubrunnen
1,Biberist - Fraubrunnen
1,Fraubrunnen - Gerlafingen
1,Bolligen - Fraubrunnen
0,Fraubrunnen - Münsingen
0,Fraubrunnen - Muri bei Bern
