Fahrten,Namen
336,Bern - Fraubrunnen
17,Fraubrunnen - Solothurn
13,Fraubrunnen - Ittigen
11,Fraubrunnen - Zollikofen
11,Fraubrunnen - Jegenstorf
10,Fraubrunnen - Köniz
5,Bätterkinden - Fraubrunnen
5,Fraubrunnen - Mattstetten
5,Fraubrunnen - Moosseedorf
5,Fraubrunnen - Muri bei Bern
3,Fraubrunnen - Zuchwil
2,Fraubrunnen - Thun
2,Biberist - Fraubrunnen
2,Bremgarten bei Bern - Fraubrunnen
2,Derendingen - Fraubrunnen
1,Biel/Bienne - Fraubrunnen
1,Fraubrunnen - Olten
1,Belp - Fraubrunnen
1,Fraubrunnen - Ostermundigen
1,Düdingen - Fraubrunnen
