Fahrten,Namen
1092,RE5 (Regionalverkehr Bern-Solothurn)
317,S20 (Schweizerische Bundesbahnen SBB)
118,1 (Busbetrieb Solothurn und Umgebung)
105,5 (Busbetrieb Solothurn und Umgebung)
80,12 (Städtische Verkehrsbetriebe Bern)
64,21 (Busbetrieb Grenchen und Umgebung)
45,20 (Städtische Verkehrsbetriebe Bern)
41,S7 (Regionalverkehr Bern-Solothurn)
34,9 (Städtische Verkehrsbetriebe Bern)
31,19 (Städtische Verkehrsbetriebe Bern)
29,8 (Städtische Verkehrsbetriebe Bern)
28,10 (Städtische Verkehrsbetriebe Bern)
23,17 (Busbetrieb Solothurn und Umgebung)
22,S11 (Aare Seeland mobil (snb))
20,34 (Busbetrieb Grenchen und Umgebung)
19,17 (Städtische Verkehrsbetriebe Bern)
18,7 (Busbetrieb Solothurn und Umgebung)
16,S1 (BLS AG (bls))
15,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
12,101 (PostAuto AG)
