Fahrten,Namen
942,RE5 (Regionalverkehr Bern-Solothurn)
258,S20 (Schweizerische Bundesbahnen SBB)
81,5 (Busbetrieb Solothurn und Umgebung)
63,1 (Busbetrieb Solothurn und Umgebung)
57,12 (Städtische Verkehrsbetriebe Bern)
50,21 (Busbetrieb Grenchen und Umgebung)
40,20 (Städtische Verkehrsbetriebe Bern)
30,19 (Städtische Verkehrsbetriebe Bern)
28,9 (Städtische Verkehrsbetriebe Bern)
28,S7 (Regionalverkehr Bern-Solothurn)
23,8 (Städtische Verkehrsbetriebe Bern)
18,7 (Busbetrieb Solothurn und Umgebung)
18,10 (Städtische Verkehrsbetriebe Bern)
16,17 (Städtische Verkehrsbetriebe Bern)
13,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
12,34 (Busbetrieb Grenchen und Umgebung)
12,S11 (Aare Seeland mobil (snb))
12,RE1 (BLS AG (bls))
10,S1 (BLS AG (bls))
7,101 (PostAuto AG)
