Fahrten,Namen
46,S8 (Regionalverkehr Bern-Solothurn)
17,RE5 (Regionalverkehr Bern-Solothurn)
5,884 (Autobusbetrieb RBS)
4,S44 (BLS AG (bls))
1,363 (Autobusbetrieb RBS)
1,10 (Städtische Verkehrsbetriebe Bern)
1,465 (Busland AG)
1,19 (Städtische Verkehrsbetriebe Bern)
1,20 (Städtische Verkehrsbetriebe Bern)
1,41 (Autobusbetrieb RBS)
1,12 (Städtische Verkehrsbetriebe Bern)
1,2 (Busbetrieb Solothurn und Umgebung)
0,24 (Busbetrieb Grenchen und Umgebung)
0,IC5 (Schweizerische Bundesbahnen SBB)
0,36 (Autobusbetrieb RBS)
0,9 (Städtische Verkehrsbetriebe Bern)
0,38 (Autobusbetrieb RBS)
0,8 (Städtische Verkehrsbetriebe Bern)
0,871 (Autobusbetrieb RBS)
