Fahrten,Namen
51,S8 (Regionalverkehr Bern-Solothurn)
26,RE5 (Regionalverkehr Bern-Solothurn)
2,12 (Städtische Verkehrsbetriebe Bern)
1,S7 (Regionalverkehr Bern-Solothurn)
1,9 (Städtische Verkehrsbetriebe Bern)
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
1,19 (Städtische Verkehrsbetriebe Bern)
1,IR66 (BLS AG (bls))
1,17 (Städtische Verkehrsbetriebe Bern)
1,36 (Autobusbetrieb RBS)
0,S2 (BLS AG (bls))
0,41 (Autobusbetrieb RBS)
0,S3 (BLS AG (bls))
0,S31 (BLS AG (bls))
0,10 (Städtische Verkehrsbetriebe Bern)
0,7 (Städtische Verkehrsbetriebe Bern)
0,5 (Busbetrieb Solothurn und Umgebung)
0,8 (Städtische Verkehrsbetriebe Bern)
0,S11 (BLS AG (bls))
0,6 (Städtische Verkehrsbetriebe Bern)
