Fahrten,Namen
4079,S31 (BLS AG (bls))
2651,S8 (Regionalverkehr Bern-Solothurn)
1061,S4 (BLS AG (bls))
526,S3 (BLS AG (bls))
524,20 (Städtische Verkehrsbetriebe Bern)
452,10 (Städtische Verkehrsbetriebe Bern)
408,12 (Städtische Verkehrsbetriebe Bern)
405,S41 (BLS AG (bls))
366,38 (Autobusbetrieb RBS)
348,8 (Städtische Verkehrsbetriebe Bern)
339,2 (Verkehrsbetriebe Biel)
272,5 (Verkehrsbetriebe Biel)
179,S2 (BLS AG (bls))
176,1 (Verkehrsbetriebe Biel)
154,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
137,S1 (BLS AG (bls))
125,6 (Städtische Verkehrsbetriebe Bern)
119,7 (Städtische Verkehrsbetriebe Bern)
117,4 (Verkehrsbetriebe Biel)
112,465 (Busland AG)
