Fahrten,Namen
3511,S31 (BLS AG (bls))
788,S8 (Regionalverkehr Bern-Solothurn)
419,S4 (BLS AG (bls))
369,20 (Städtische Verkehrsbetriebe Bern)
352,S3 (BLS AG (bls))
329,2 (Verkehrsbetriebe Biel)
282,12 (Städtische Verkehrsbetriebe Bern)
271,5 (Verkehrsbetriebe Biel)
162,1 (Verkehrsbetriebe Biel)
146,8 (Städtische Verkehrsbetriebe Bern)
145,10 (Städtische Verkehrsbetriebe Bern)
117,4 (Verkehrsbetriebe Biel)
108,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
90,S2 (BLS AG (bls))
84,IR66 (BLS AG (bls))
78,S1 (BLS AG (bls))
76,17 (Städtische Verkehrsbetriebe Bern)
76,IC5 (Schweizerische Bundesbahnen SBB)
69,7 (Städtische Verkehrsbetriebe Bern)
68,38 (Autobusbetrieb RBS)
