Fahrten,Namen
537,RE5 (Regionalverkehr Bern-Solothurn)
118,S8 (Regionalverkehr Bern-Solothurn)
61,884 (Autobusbetrieb RBS)
38,S20 (Schweizerische Bundesbahnen SBB)
16,20 (Städtische Verkehrsbetriebe Bern)
14,12 (Städtische Verkehrsbetriebe Bern)
14,7 (Städtische Verkehrsbetriebe Bern)
13,5 (Busbetrieb Solothurn und Umgebung)
12,10 (Städtische Verkehrsbetriebe Bern)
12,9 (Städtische Verkehrsbetriebe Bern)
10,S7 (Regionalverkehr Bern-Solothurn)
7,8 (Städtische Verkehrsbetriebe Bern)
7,IC5 (Schweizerische Bundesbahnen SBB)
6,6 (Städtische Verkehrsbetriebe Bern)
6,S2 (BLS AG (bls))
4,363 (Autobusbetrieb RBS)
4,101 (PostAuto AG)
4,S1 (BLS AG (bls))
4,7 (Busbetrieb Solothurn und Umgebung)
4,17 (Städtische Verkehrsbetriebe Bern)
