Fahrten,Namen
619,RE5 (Regionalverkehr Bern-Solothurn)
125,2 (Busbetrieb Solothurn und Umgebung)
45,S8 (Regionalverkehr Bern-Solothurn)
29,20 (Städtische Verkehrsbetriebe Bern)
28,882 (PostAuto AG)
26,886 (PostAuto AG)
25,884 (Autobusbetrieb RBS)
25,885 (PostAuto AG)
15,12 (Städtische Verkehrsbetriebe Bern)
10,S20 (Schweizerische Bundesbahnen SBB)
10,465 (Busland AG)
9,S7 (Regionalverkehr Bern-Solothurn)
9,10 (Städtische Verkehrsbetriebe Bern)
6,8 (Städtische Verkehrsbetriebe Bern)
6,S2 (BLS AG (bls))
5,466 (Busland AG)
4,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
4,IR65 (BLS AG (bls))
4,M11 (Busbetrieb Solothurn und Umgebung)
3,S1 (BLS AG (bls))
