Fahrten,Namen
299,RE5 (Regionalverkehr Bern-Solothurn)
19,2 (Busbetrieb Solothurn und Umgebung)
16,20 (Städtische Verkehrsbetriebe Bern)
16,S8 (Regionalverkehr Bern-Solothurn)
12,12 (Städtische Verkehrsbetriebe Bern)
4,8 (Städtische Verkehrsbetriebe Bern)
4,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
3,10 (Städtische Verkehrsbetriebe Bern)
3,S20 (Schweizerische Bundesbahnen SBB)
2,IR65 (BLS AG (bls))
2,9 (Städtische Verkehrsbetriebe Bern)
2,S1 (BLS AG (bls))
2,S2 (BLS AG (bls))
2,17 (Städtische Verkehrsbetriebe Bern)
1,S7 (Regionalverkehr Bern-Solothurn)
1,RE1 (BLS AG (bls))
1,19 (Städtische Verkehrsbetriebe Bern)
1,7 (Städtische Verkehrsbetriebe Bern)
1,IC61 (Schweizerische Bundesbahnen SBB)
1,S29 (Schweizerische Bundesbahnen SBB)
