Fahrten,Namen
249,Bern - Biberist
60,Biberist - Lohn-Ammannsegg
42,Biberist - Buchegg
39,Biberist - Bätterkinden
38,Bern - Gerlafingen
13,Biberist - Koppigen
10,Biberist - Utzenstorf
10,Biberist - Lüterkofen-Ichertswil
10,Biberist - Lyssach
10,Bern - Halten
9,Biberist - Mattstetten
9,Bern - Zielebach
7,Biberist - Ittigen
7,Bätterkinden - Gerlafingen
6,Biberist - Fraubrunnen
6,Biberist - Zollikofen
6,Gerlafingen - Lohn-Ammannsegg
5,Biberist - Jegenstorf
4,Bätterkinden - Zielebach
4,Biberist - Lyss
