Fahrten,Namen
1362,S7 (Regionalverkehr Bern-Solothurn)
1356,6 (Städtische Verkehrsbetriebe Bern)
176,795 (PostAuto AG)
126,44 (Autobusbetrieb RBS)
119,791 (PostAuto AG)
105,794 (PostAuto AG)
90,40 (Autobusbetrieb RBS)
89,S1 (BLS AG (bls))
89,S2 (BLS AG (bls))
58,792 (PostAuto AG)
56,168 (Städtische Verkehrsbetriebe Bern)
56,S11 (BLS AG (bls))
52,781 (PostAuto AG)
50,9 (Städtische Verkehrsbetriebe Bern)
50,10 (Städtische Verkehrsbetriebe Bern)
46,S42 (BLS AG (bls))
36,S8 (Regionalverkehr Bern-Solothurn)
33,S4 (BLS AG (bls))
31,793 (PostAuto AG)
19,8 (Städtische Verkehrsbetriebe Bern)
