Fahrten,Namen
260,S7 (Regionalverkehr Bern-Solothurn)
212,6 (Städtische Verkehrsbetriebe Bern)
22,S2 (BLS AG (bls))
14,S8 (Regionalverkehr Bern-Solothurn)
11,RE1 (BLS AG (bls))
11,791 (PostAuto AG)
11,S11 (BLS AG (bls))
9,12 (Städtische Verkehrsbetriebe Bern)
8,794 (PostAuto AG)
7,S1 (BLS AG (bls))
7,S31 (BLS AG (bls))
6,28 (Städtische Verkehrsbetriebe Bern)
6,36 (Autobusbetrieb RBS)
4,20 (Städtische Verkehrsbetriebe Bern)
3,8 (Städtische Verkehrsbetriebe Bern)
2,IR65 (BLS AG (bls))
2,40 (Autobusbetrieb RBS)
2,21 (STI Bus AG)
2,RE5 (Regionalverkehr Bern-Solothurn)
2,S9 (Regionalverkehr Bern-Solothurn)
