Fahrten,Namen
363,S7 (Regionalverkehr Bern-Solothurn)
15,12 (Städtische Verkehrsbetriebe Bern)
10,791 (PostAuto AG)
8,8 (Städtische Verkehrsbetriebe Bern)
6,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
6,20 (Städtische Verkehrsbetriebe Bern)
5,S31 (BLS AG (bls))
4,S2 (BLS AG (bls))
2,S6 (BLS AG (bls))
2,RE5 (Regionalverkehr Bern-Solothurn)
1,RE1 (BLS AG (bls))
1,S51 (BLS AG (bls))
1,EC (Schweizerische Bundesbahnen SBB)
1,IC8 (Schweizerische Bundesbahnen SBB)
1,IR65 (BLS AG (bls))
1,S52 (BLS AG (bls))
1,IC1 (Schweizerische Bundesbahnen SBB)
1,IR17 (BLS AG (bls))
1,IC61 (Schweizerische Bundesbahnen SBB)
1,765 (Verkehrsbetriebe Glattal)
