Fahrten,Namen
1126,S7 (Regionalverkehr Bern-Solothurn)
79,781 (PostAuto AG)
59,8 (Städtische Verkehrsbetriebe Bern)
55,20 (Städtische Verkehrsbetriebe Bern)
47,10 (Städtische Verkehrsbetriebe Bern)
40,12 (Städtische Verkehrsbetriebe Bern)
37,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
32,9 (Städtische Verkehrsbetriebe Bern)
29,S4 (BLS AG (bls))
27,6 (Städtische Verkehrsbetriebe Bern)
23,RE1 (BLS AG (bls))
21,791 (PostAuto AG)
17,7 (Städtische Verkehrsbetriebe Bern)
15,S44 (BLS AG (bls))
14,S31 (BLS AG (bls))
14,S2 (BLS AG (bls))
13,IR35 (Schweizerische Bundesbahnen SBB)
13,S3 (BLS AG (bls))
9,S1 (BLS AG (bls))
9,RE7 (BLS AG (bls))
