Fahrten,Namen
526,S7 (Regionalverkehr Bern-Solothurn)
15,12 (Städtische Verkehrsbetriebe Bern)
13,S31 (BLS AG (bls))
12,RE1 (BLS AG (bls))
11,8 (Städtische Verkehrsbetriebe Bern)
10,791 (PostAuto AG)
9,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
7,S2 (BLS AG (bls))
6,20 (Städtische Verkehrsbetriebe Bern)
4,IC61 (Schweizerische Bundesbahnen SBB)
4,IC8 (Schweizerische Bundesbahnen SBB)
4,RE5 (Regionalverkehr Bern-Solothurn)
4,IR65 (BLS AG (bls))
3,EC (Schweizerische Bundesbahnen SBB)
3,46 (Autobusbetrieb RBS)
3,S6 (BLS AG (bls))
3,5 (STI Bus AG)
2,IC1 (Schweizerische Bundesbahnen SBB)
2,S1 (BLS AG (bls))
2,781 (PostAuto AG)
