Fahrten,Namen
3775,S7 (Regionalverkehr Bern-Solothurn)
268,8 (Städtische Verkehrsbetriebe Bern)
248,46 (Autobusbetrieb RBS)
201,20 (Städtische Verkehrsbetriebe Bern)
166,12 (Städtische Verkehrsbetriebe Bern)
155,10 (Städtische Verkehrsbetriebe Bern)
154,451 (PostAuto AG)
138,S2 (BLS AG (bls))
109,6 (Städtische Verkehrsbetriebe Bern)
106,7 (Städtische Verkehrsbetriebe Bern)
97,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
92,9 (Städtische Verkehrsbetriebe Bern)
79,781 (PostAuto AG)
72,RE1 (BLS AG (bls))
67,S4 (BLS AG (bls))
63,S31 (BLS AG (bls))
54,21 (Städtische Verkehrsbetriebe Bern)
44,S1 (BLS AG (bls))
30,IR35 (Schweizerische Bundesbahnen SBB)
27,IC61 (Schweizerische Bundesbahnen SBB)
