Fahrten,Namen
984,S7 (Regionalverkehr Bern-Solothurn)
43,12 (Städtische Verkehrsbetriebe Bern)
30,S31 (BLS AG (bls))
26,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
24,RE1 (BLS AG (bls))
17,IC61 (Schweizerische Bundesbahnen SBB)
15,10 (Städtische Verkehrsbetriebe Bern)
13,S2 (BLS AG (bls))
12,RE5 (Regionalverkehr Bern-Solothurn)
11,8 (Städtische Verkehrsbetriebe Bern)
10,791 (PostAuto AG)
10,IC8 (Schweizerische Bundesbahnen SBB)
9,IR65 (BLS AG (bls))
8,S1 (BLS AG (bls))
7,IC1 (Schweizerische Bundesbahnen SBB)
7,IC81 (Schweizerische Bundesbahnen SBB)
6,S51 (BLS AG (bls))
6,5 (STI Bus AG)
6,20 (Städtische Verkehrsbetriebe Bern)
6,EC (Schweizerische Bundesbahnen SBB)
