Fahrten,Namen
5749,S7 (Regionalverkehr Bern-Solothurn)
393,8 (Städtische Verkehrsbetriebe Bern)
264,S2 (BLS AG (bls))
253,10 (Städtische Verkehrsbetriebe Bern)
248,46 (Autobusbetrieb RBS)
241,12 (Städtische Verkehrsbetriebe Bern)
230,20 (Städtische Verkehrsbetriebe Bern)
188,7 (Städtische Verkehrsbetriebe Bern)
162,41 (Autobusbetrieb RBS)
158,9 (Städtische Verkehrsbetriebe Bern)
155,6 (Städtische Verkehrsbetriebe Bern)
154,451 (PostAuto AG)
140,RE1 (BLS AG (bls))
122,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
89,21 (Städtische Verkehrsbetriebe Bern)
79,781 (PostAuto AG)
77,IC61 (Schweizerische Bundesbahnen SBB)
69,S31 (BLS AG (bls))
67,S4 (BLS AG (bls))
66,S1 (BLS AG (bls))
