Fahrten,Namen
6793,S7 (Regionalverkehr Bern-Solothurn)
2807,S8 (Regionalverkehr Bern-Solothurn)
758,S9 (Regionalverkehr Bern-Solothurn)
731,8 (Städtische Verkehrsbetriebe Bern)
588,10 (Städtische Verkehrsbetriebe Bern)
487,7 (Städtische Verkehrsbetriebe Bern)
477,12 (Städtische Verkehrsbetriebe Bern)
398,S2 (BLS AG (bls))
329,RE1 (BLS AG (bls))
310,38 (Autobusbetrieb RBS)
272,6 (Städtische Verkehrsbetriebe Bern)
250,9 (Städtische Verkehrsbetriebe Bern)
248,46 (Autobusbetrieb RBS)
239,M11 (Busbetrieb Solothurn und Umgebung)
235,20 (Städtische Verkehrsbetriebe Bern)
205,IC61 (Schweizerische Bundesbahnen SBB)
181,34 (Autobusbetrieb RBS)
168,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
165,41 (Autobusbetrieb RBS)
160,17 (Städtische Verkehrsbetriebe Bern)
