Fahrten,Namen
1565,S7 (Regionalverkehr Bern-Solothurn)
836,S8 (Regionalverkehr Bern-Solothurn)
192,RE1 (BLS AG (bls))
157,IC61 (Schweizerische Bundesbahnen SBB)
77,12 (Städtische Verkehrsbetriebe Bern)
65,IC1 (Schweizerische Bundesbahnen SBB)
60,10 (Städtische Verkehrsbetriebe Bern)
53,RE5 (Regionalverkehr Bern-Solothurn)
50,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
40,IC8 (Schweizerische Bundesbahnen SBB)
39,7 (Städtische Verkehrsbetriebe Bern)
39,2 (STI Bus AG)
37,5 (STI Bus AG)
35,EC (Schweizerische Bundesbahnen SBB)
35,IR17 (BLS AG (bls))
34,S9 (Regionalverkehr Bern-Solothurn)
34,IC6 (Schweizerische Bundesbahnen SBB)
34,IR65 (BLS AG (bls))
34,S31 (BLS AG (bls))
31,1 (STI Bus AG)
